iter	Passed	Remaining
0	1	139
1	3	158
2	5	183
3	7	185
4	10	193
5	12	196
6	15	203
7	17	197
8	19	199
9	21	197
10	24	198
11	26	196
12	28	191
13	30	188
14	32	186
15	35	187
16	37	184
17	39	181
18	42	181
19	44	177
20	46	174
21	48	171
22	50	169
23	53	168
24	55	165
25	57	163
26	59	159
27	60	156
28	62	153
29	64	150
30	66	147
31	68	145
32	70	142
33	72	139
34	74	137
35	76	136
36	78	133
37	80	131
38	82	129
39	84	127
40	87	125
41	87	121
42	89	118
43	90	114
44	91	111
45	93	109
46	95	108
47	98	106
48	100	104
49	101	101
50	103	99
51	105	97
52	106	94
53	108	92
54	109	89
55	111	87
56	112	85
57	114	82
58	115	80
59	117	78
60	119	76
61	120	74
62	122	71
63	123	69
64	125	67
65	126	65
66	127	63
67	129	60
68	130	58
69	131	56
70	133	54
71	134	52
72	135	50
73	136	48
74	137	45
75	139	43
76	140	41
77	141	39
78	142	37
79	143	35
80	144	33
81	145	31
82	146	30
83	147	28
84	148	26
85	149	24
86	150	22
87	151	20
88	152	18
89	153	17
90	154	15
91	155	13
92	156	11
93	157	10
94	157	8
95	158	6
96	159	4
97	160	3
98	161	1
99	162	0
